username,taken_at_tpe,post_date,text,like_count,reply_count,repost_count,quote_count,reshare_count,permalink,search_keyword,audience_type,post_category,scrape_date
doko_chartered,2026-04-19 10:46:00,2026-04-19,福岡的📍中山大藤 開花囉💜,570,11,6,0,390,https://www.threads.net/@doko_chartered/post/DXTAa2wEUcV,福岡包車,t2,,2026-04-20
nomad_club_dia,2026-04-19 15:30:27,2026-04-19,"快要去宮古島跟沖繩了
好興奮
有推薦必吃或必買嗎",6,3,0,0,1,https://www.threads.net/@nomad_club_dia/post/DXTg-RokY1J,沖繩自由行,t2,,2026-04-20
cxwww_11,2026-04-19 22:20:38,2026-04-19,"請益一些常常去日本自由行的大大！！
本人想要6/25從台北飛大阪,7/4從青森飛回台北~
剛剛查長榮這樣子機票價格落在19970！
到底是划算還是普通阿🫣
（小女子在經歷過沖繩飛國內線去福岡之後，有點迷戀上飛日本國內線了🤣）",10,22,1,0,2,https://www.threads.net/@cxwww_11/post/DXUP6goES-8,沖繩自由行,t2,,2026-04-20
evita.lee999,2026-04-19 08:53:26,2026-04-19,"#沖繩自由行✈️
有人四月出發沖繩嗎？
我喜歡四月玩沖繩，天氣涼爽舒適
穿搭的話，太陽出來時會熱，建議都帶短袖就好囉！
如果擔心下雨天或是早晚溫差會涼，再帶一件薄外套備著
行李箱盡量空出最大空間，戰利品才能裝好裝滿🤭",143,40,1,2,9,https://www.threads.net/@evita.lee999/post/DXSzicxmf1e,沖繩自由行,t2,,2026-04-20
nai_0326,2026-04-19 14:28:47,2026-04-19,"10月份要去沖繩自駕遊5天4夜 大家有推薦的行程跟路線規劃嗎～🥴

（旅遊J人上線 絕對是要提早安排的妥妥當當的）",0,64,0,0,0,https://www.threads.net/@nai_0326/post/DXTZ6mnkTsR,沖繩旅遊,t2,,2026-04-20
ininxxoo,2026-04-19 10:48:22,2026-04-19,"我有問題想問廣大的脆友
去沖繩自駕租ORIX ,一般車子都會有充電的功能吧？怕是最一般的車款沒辦法車充,或是只有USB的插口
-
現在那邊冷嗎？明天的飛機想穿無袖耶～",2,8,0,0,1,https://www.threads.net/@ininxxoo/post/DXTAsLgj4w-,沖繩旅遊,t2,,2026-04-20
discount_chiikawa,2026-04-19 14:46:30,2026-04-19,"明天（4.20）中午12點開搶！！

沖繩美麗海水族館門票買1送1🔥
沖繩DMM Kariyushi水族館門票買1送1🔥

準備去沖繩旅遊的朋友們別錯過了～～",52,2,0,0,136,https://www.threads.net/@discount_chiikawa/post/DXTbxx-k-Qo,沖繩旅遊,t2,,2026-04-20
qwssaq1977,2026-04-19 16:19:55,2026-04-19,"沖繩旅遊預算直接砍半！這波「水族館買一送一」太狠了 🐬
​計畫要去沖繩的人看過來，明天（4/20）中午又是大戰時刻！
這次 Trip.com 的週一優惠真的很有誠意：
​✅ DMM Kariyushi 水族館：買一送一（兩人只要 $559）
✅ 美麗海水族館：買一送一（兩人只要 $435）— 這真的沒搶到會哭！
✅ 日本 eSIM：依舊是扯到爆的 $10
​連渡嘉敷島一日遊跟北部一日遊都有 5 折優惠。
美麗海水族館原價一個人就要四百多，現在兩個人才 $435，買到賺到。
​⏰ 搶購時間：4/20（週一）12:00 準時開搶
快把這篇轉給你的沖繩戰友，明天準時開網頁！
​#沖繩 #沖繩旅遊 #美麗海水族館 #DMM水族館 #日本旅遊 #買一送一 #Threads旅遊限定",10,2,1,0,80,https://www.threads.net/@qwssaq1977/post/DXTmojgk7XW,沖繩旅遊,t2,,2026-04-20
_hana.daily,2026-04-19 19:46:15,2026-04-19,"⚠️要去沖繩的注意了‼️
明天4/20中午12:00
美麗海水族館門票 買1送1
DMM Kariyushi水族館 買1送1",50,8,2,0,146,https://www.threads.net/@_hana.daily/post/DXT-PvkGh2q,沖繩旅遊,t2,,2026-04-20
mandy_900601,2026-04-19 23:07:08,2026-04-19,"今年10月想去大阪自由行
因為是新手！！
可以建議怎安排日本機票和住宿？
有沒有比較便宜的價格
有推薦的網站還是航班",24,30,0,0,8,https://www.threads.net/@mandy_900601/post/DXUVPKHj5iw,日本自由行,t2,,2026-04-20
dont_lose_ur_mind,2026-04-19 21:53:50,2026-04-19,"5月11日～16日將要去日本
想問各位常去日本的各位達人
我的行程有沒有很多不用去或不值得去的
我丟在下方
（行程都是請GTP幫我排的）",0,7,1,0,1,https://www.threads.net/@dont_lose_ur_mind/post/DXUM2NZEpj5,日本自由行,t2,,2026-04-20
hsuanju_ss,2026-04-19 12:39:35,2026-04-19,"決定今年生日要去福岡獨旅☺️
有人推薦福岡住宿嗎～？",49,24,0,0,25,https://www.threads.net/@hsuanju_ss/post/DXTNav9mDaE,日本自由行,t2,,2026-04-20
ilovecloud876654,2026-04-19 13:59:23,2026-04-19,"8月日本行，機票已訂好才發覺行程完全重疊日本的「盆盆節」，
不想在熱門景點擠死😭
請推薦替代景點或避開人潮的行程 🙏",2,7,0,0,1,https://www.threads.net/@ilovecloud876654/post/DXTWjTkAZ-z,日本自由行,t2,,2026-04-20
tyjls4851,2026-04-19 13:42:17,2026-04-19,"🛫 2026 日本入境超簡單攻略！Visit Japan Web 一碼搞定，快速通關不排隊！ 

台灣人去日本免簽90天，不用再手寫紙本入境卡 + 海關申報表，只要用 Visit Japan Web（VJW） 提前填好，就產生一個 QR Code，抵達日本掃碼就能走自助通關機，超省時！

抵達日本後：
掃 QR Code → 掃護照 → 指紋 + 拍照 → 完成入境審查 + 海關，一氣呵成！ 

沒用 VJW 就要手寫紙本，排隊會比較久。

出發前一天再檢查一次資料，買好 eSIM 或國際漫遊，落地就有網路～

有去日本的計畫嗎？可以分享你的行程～

#日本自由行 #VisitJapanWeb #日本入境 #2026日本旅行",747,51,101,5,1899,https://www.threads.net/@tyjls4851/post/DXTUl_zEnl6,日本自由行,t2,,2026-04-20
shirley19970614,2026-04-19 14:43:24,2026-04-19,"🌸 日本旅遊小教學｜藥妝店怎麼逛最划算？(｡･ω･｡)ﾉ♡

第一次來日本看到藥妝真的會失控（笑）
但其實逛對方法，可以省錢又買到重點✨

✦ Step 1｜先看「免稅 Tax-free」標示
滿額直接免稅（通常5000日圓以上）
記得帶護照唷📖！

✦ Step 2｜價格不要急著拿
同一條街不同店價差很大！
👉 建議：先逛一圈再回來買 (๑•̀ㅂ•́)و✧

✦ Step 3｜鎖定熱門區
✔ 面膜（保濕/美白）
✔ 維他命、腸胃藥
✔ 眼藥水、休足時間
✔ 零食區（直接失守🤣）

✦ Step 4｜注意「優惠疊加」
有些店會：
免稅＋折扣券＋刷卡優惠
👉 直接差到一頓燒肉錢🍖

✦ Step 5｜不要盲買
看到大家掃的不一定適合你
👉 先看成分＋需求最重要💡

✦ 小提醒 ♡
日本藥妝真的很好買
但也很容易「買到行李爆炸」( ˘•ω•˘ )
建議預留行李空間 or 帶摺疊袋🧳

—

這趟真的就是
邊逛邊想：
「我想吃雞排＋珍奶🥺🧋」
（台灣胃無誤哈哈）

—

#日本旅遊 #日本藥妝 #藥妝攻略 #日本必買
#東京自由行",24,4,8,0,23,https://www.threads.net/@shirley19970614/post/DXTblm_kloL,日本自由行,t2,,2026-04-20
wind.suzuki,2026-04-19 22:43:50,2026-04-19,"來日本最失望的景點

最近網路突然開始列舉來日本最失望的景點，如果要我說列為一二名的話，那就是大阪的黑門市場和京都的錦市場。

黑門市場大概是我在2012年的時候第一次去，雖然當時商業氣息已經算很重，但至少還是可以走走逛逛，現在則是變成專門坑殺觀光客的地方，然後一堆賣觀光客伴手禮的轉賣店....

錦市場更是讓我不勝噓唏，原本不少的店家都被改租成專賣給外國人高價食物的攤位，很多京漬物攤位也都消失了，以前我曾經在那邊買過一雙室內拖給媽媽，做得很不錯也不貴，還有一些賣廚具相關的攤位，現在會去錦市場就只是為了吃附近的燒肉店和豆乳冰淇淋了。

後來再去京都，都是去三條商店街就感覺好上不少，也沒那麼多觀光客，你有覺得很失望的景點嗎? 歡迎分享。",17,10,1,0,30,https://www.threads.net/@wind.suzuki/post/DXUSkbrD_si,日本旅遊,t2,,2026-04-20
_chiutung,2026-04-19 11:37:43,2026-04-19,"今年去了日本兩次，發現有幾個app真的是必備…
必須在這裡分享給大家！！！🤩",59,13,8,0,116,https://www.threads.net/@_chiutung/post/DXTGVtOj0V3,日本旅遊,t2,,2026-04-20
mick.wok,2026-04-19 10:49:05,2026-04-19,日本儲物櫃早前被某國人濫用，放了行李霸佔但不付款不鎖櫃，導致日本方面整改對應，電子鎖的儲物櫃必須先選好付款才能打開，但又不提供模板讓旅客試試儲物櫃大小夠不夠放，又令每部付款機只能照顧一台客，一台客整理好才能招呼下一個，導致效率大大減慢。,822,123,26,0,143,https://www.threads.net/@mick.wok/post/DXTAxevEkOo,日本旅遊,t2,,2026-04-20
yoyoinjapan199,2026-04-19 22:18:21,2026-04-19,"這次去日本，不只去了大阪還去了其他周邊城市。整合一下資料，出一份大阪交通卷攻略。

💕這篇帖子還附了遊客專屬優惠券在圖6-9哦💕

大阪旅客專屬交通卷大阪周遊卷和jr mini pass 搭配使用，不開玩笑！起碼可以節省了接近10000日元。
這一份攻略，必須分享給大家👍🏻請碼住！
	
#日本旅行 #出行攻略 #旅行輕鬆省",625,26,91,12,1456,https://www.threads.net/@yoyoinjapan199/post/DXUPpxJEyWH,日本旅遊,t2,,2026-04-20
akarilailai,2026-04-19 16:04:21,2026-04-19,"日本醫美真的太誇張了…😳
今天做這3項，刷卡才 NT$13,090

逆時針 ¥46,000
肉毒 ¥8,000
M22 ¥10,800

全部加起來 ¥64,800
換算台幣直接嚇到。

在台灣這價格可能只做一項，
在日本直接三項打包帶走。

難怪現在一堆人去日本不是只有買藥妝，
是連臉一起升級。✈️

有人也開始把日本醫美排進旅遊行程了嗎？😂

#日本醫美 #東京醫美 #醫美分享 #價格震驚 #逆時針 #肉毒 #M22 #日本旅遊",1480,172,66,3,2312,https://www.threads.net/@akarilailai/post/DXTk2fmEbND,日本旅遊,t2,,2026-04-20
yt._____0607,2026-04-19 15:07:58,2026-04-19,"清水寺跟伏見稻荷大社哪裡比較值得去🤔️
主要想穿和服拍照 跟逛逛街吃點東西

補充一下 去的時間大概是5/7！
感覺會很熱嗎（？第一次去日本不太清楚😢",79,24,3,0,24,https://www.threads.net/@yt._____0607/post/DXTeZoOk7A2,日本旅遊,t2,,2026-04-20
okazaki_takeru,2026-04-19 17:12:02,2026-04-19,"河道上看到一個十分有趣的議題
在日本跟外國人結婚的人都不是普通人
其實我是同意的
首先從數據上看：

1.日本跟外國人結婚的比例僅僅只有3%，作爲參考台灣與非本國籍人士結婚的比例高達15-20%，如果你都已經覺得跟在台灣跟外國人結婚都不是太常見了，日本只有台灣的1/5不到

2.日本護照持有率極低，僅僅只有17%，並且要知道持有護照不等於出過國，而短期旅遊和真正有海外經驗又是兩回事，所以各位無論在哪一國遇到日本人，事實上他們都是少數中的少數，請好好珍惜

3.至於男生和女生有沒有差別，個人覺得也是有的，雖然跟外國人結婚沒有強制要同姓，但日本人基本上還是會考慮這件事，在超過90%日本女性都改姓的情況下，突然可能要冠上一個中文姓，日女嫁台男所需要克服的家庭壓力通常是更高的

至於我太太，雖然她是那一種傳統到不行的日本人，沒有護照也從來沒有出過國，比較特別的是以她的年紀來說異常的愛閱讀，工作和睡眠以外90%的時間都在閱讀，簡直就像從村上春樹小說走出來的人，思想特別開闊，對於不可思議的事保持著好奇心，也因此才能接受異國婚姻吧

所以你的另一半如果是日本人，他們真的不普通，請好好珍惜",1820,127,16,0,86,https://www.threads.net/@okazaki_takeru/post/DXTsmRwlPPl,日本旅遊,t2,,2026-04-20
travel_eeooa0314,2026-04-19 16:54:49,2026-04-19,"超巨大獅子殿好好拍 🦁
還有可愛的鯛魚造型、扇子籤詩，開運祈福必來 💕
難波八阪神社就位在熱鬧的難波一帶，距離心齋橋、大阪日本橋、黑門市場等景點不遠，行程可以安排一起。

📍景點資訊｜難波八阪神社
 地址： 〒556-0016 大阪市浪速区元町 2-9-19
 電話： 06-6641-1149
 開放時間： 06:00~17:00
📍交通方式：
 地下鐵御堂筋線・四橋線「大國町站」步行約6分鐘。
 南海電鐵「難波站」步行約6分鐘。

#大阪旅遊 #大阪自由行 #難波八阪神社 #難波景點 #日本旅遊",16,1,0,0,24,https://www.threads.net/@travel_eeooa0314/post/DXTqoK7ExJm,大阪自由行,t2,,2026-04-20
megotri2._.1,2026-04-19 18:18:30,2026-04-19,"最近在研究日本獨旅，
想說護照拿到後找個時間到日本玩個一兩天😆
有神人有推薦的旅遊路線或寶藏店嗎🥹
大阪東京都可以💕
感恩🙂‍↕️",7,12,0,0,0,https://www.threads.net/@megotri2._.1/post/DXT0NHDk8Hg,大阪自由行,t2,,2026-04-20
ken.in_japan,2026-04-19 09:55:18,2026-04-19,"前後去了5次🔥名古屋自由行超強指南✨
 
寶子們👋，日本名古屋宛如低調奢華的寶藏，坐落於日本中部，盡顯古老與現代交織的魅力💖

大阪前往名古屋交通🚞
 
1️⃣ 新幹線希望號：新大阪→名古屋約50分鐘，快速舒適，趕時間首選⏱️
2️⃣ 新幹線回聲號：全程約70分鐘，沿途賞景超愜意🌿
3️⃣ JR鐵路聯乘：約3小時，票價親民，預算黨必選💰
4️⃣ 近鐵特急「火之鳥」：約2小時，車廂設計超精美✨
5️⃣ 高速巴士：約3.5小時，移動觀景台超悠閒
 
名古屋主推路線🗺️
 
🔹歷史建築之旅（1天）：名古屋站→四間道→市政資料館→名古屋城→白壁地區，沉浸式感受古韻📸
🔹全景精選路線：名古屋城、熱田神宮、大須觀音寺、樂高樂園，玩遍經典景點
 
專屬優惠券來啦🎫
 
✅Alpen Group運動用品店：全品5% OFF，可疊加店內優惠
✅大丸/松坂屋百貨：退稅+5% OFF，
✅BicCamera：部分商品10%免稅+再享最高7% OFF
✅國民藥妝店：免稅最高10%+滿額再享最高8% OFF
✅京王百貨（新宿）：95折優惠
 
趕緊收藏這份攻略，暢遊名古屋不踩雷～🥳",53,2,2,0,126,https://www.threads.net/@ken.in_japan/post/DXS6nivj5e7,大阪自由行,t2,,2026-04-20
panhanluo,2026-04-19 20:16:33,2026-04-19,"大阪梅田商圈購物攻略🛍️Plus版❗❗❗
這是我結合了之前那篇攻略帖子 
評論區姐妹們的意見 重新修改的攻略😸
再次雙手奉上我的備忘錄📝

💡還有一些沒有寫在裡面 但是都在附近的購物的地方
1️⃣Alpen TOKYO 新宿店
2️⃣BicCamera 新宿东口店
3️⃣京王百货店 新宿店
4️⃣国民药妆 (Kokumin)
很好逛哦✌🏻✌🏻✌🏻

⚠️一天根本逛不完 
首選大家感興趣的商場哦
最後祝大家購物愉快✌🏻✌🏻✌🏻",97,2,9,1,303,https://www.threads.net/@panhanluo/post/DXUBts0H65V,大阪旅遊,t2,,2026-04-20
sinsininjapan,2026-04-19 19:17:45,2026-04-19,"🇯🇵 日本5月穿搭指南
日本5月真的很適合旅遊的
	
一句話總結：白天像夏天，早晚像春天，一定要會“疊穿”！

💕有需要觀光客專屬購物優惠券的可以存一下圖3-7哦💕

📍東京、大阪、京都
白天基本20～25°C，出太陽其實有點熱，
短袖/T恤慢慢可以穿起來了～
但！！早晚直接降到13～16°C，加上日本室內冷氣很猛，不帶外套一定會冷🥶
建議隨身一件薄外套（風衣/牛仔/針織都可以）
	
📍北海道
溫度更低一點，還是偏春天感，
晚上甚至會到8°C左右，記得帶厚一點的外套！
	
📍沖繩
已經是夏天+雨季模式🌧️
23～27°C，悶熱又潮濕，直接穿清涼一點就好～
	
🧥穿搭公式
T恤/襯衫 + 薄外套 + 長褲/長裙
	
🧳必帶清單（真的很重要！）
✔️ 防曬（5月紫外線超強！！）
✔️ 好走的運動鞋（每天2w步起步）
✔️ 折疊傘（隨時可能下雨）
✔️ 口罩（花粉尾期，敏感人群必備）
	
⚠️小細節（很多人會忽略）
▪️ 去寺廟/神社盡量不要穿太暴露
▪️ 有些地方要脫鞋，襪子記得乾淨！真的很加分😂
	
如果真的帶不夠也不用慌
UNIQLO、GU滿街都是，隨便補一件都很方便的～～",328,2,32,3,670,https://www.threads.net/@sinsininjapan/post/DXT6_BkFPwC,大阪旅遊,t2,,2026-04-20
dee.r2041246,2026-04-19 14:06:34,2026-04-19,"推薦給去大阪旅遊或是辦公的人！！
&AND HOSTEL SHINSAIBASHI EAST (心齋橋東安 多青年旅館)是一間結合了「青年旅館社交氛圍」與 「現代精品設計」的住宿,特別適合預算有限但重視質
感、或是喜歡與人交流的單人旅客與小資族",7,1,0,0,3,https://www.threads.net/@dee.r2041246/post/DXTXX35GKzF,大阪旅遊,t2,,2026-04-20
rachiecai,2026-04-19 22:20:45,2026-04-19,"下週三要到北海道旅遊六天
請問衣服該怎麼帶比較妥當",4,1,0,0,0,https://www.threads.net/@rachiecai/post/DXUP7VNicoh,北海道旅遊,t2,,2026-04-20
_8_2_5,2026-04-19 16:59:29,2026-04-19,想帶家人去北海道旅遊，請問有推薦的旅行社嗎😌,7,14,0,0,1,https://www.threads.net/@_8_2_5/post/DXTrKZTj-ob,北海道旅遊,t2,,2026-04-20
nsdy449_changyu,2026-04-19 23:54:31,2026-04-19,"4/22 星期三～4/26 星期日 高峰北海道之旅
三十年沒出國過，北海道也是第一次去
請問 去北海道旅遊，要注意什麼嗎？（熊出沒）",20,11,0,0,0,https://www.threads.net/@nsdy449_changyu/post/DXUaqMsgWyG,北海道旅遊,t2,,2026-04-20
yurin27461,2026-04-19 22:38:32,2026-04-19,"我們家明年要出國家族旅遊
1日本北海道
2越南
選哪一個好呢？",1,8,0,0,0,https://www.threads.net/@yurin27461/post/DXUR9qbiW9O,北海道旅遊,t2,,2026-04-20
eva11280,2026-04-19 20:23:15,2026-04-19,"2026北海道家族旅遊💛～～～
想到就po 😅 po到下一趟✈️
#北海道之旅
#札幌
#小樽
#登別",3,1,0,0,0,https://www.threads.net/@eva11280/post/DXUCexliYTf,北海道旅遊,t2,,2026-04-20
sinemato_22,2026-04-19 20:42:27,2026-04-19,"九州福岡自由行: 糸島市 桜井二見ヶ浦夫婦岩
Beach Cafe SUNSET

#桜井二見ヶ浦夫婦岩
#糸島
#Itoshima 
#福岡観光 
#日本の絶景",1,0,0,0,0,https://www.threads.net/@sinemato_22/post/DXUErAPE-Nt,福岡自由行,t2,,2026-04-20
jahwa245,2026-04-19 14:17:55,2026-04-19,"今天就好好享受自由行的慢步調吧
大濠公園走走還直接走到福岡巨蛋
在台灣我可是沒辦法走拿～麼遠的唷
走個1分鐘就會原地起火🔥
👨🏻：「你在日本怎麼好像比較能走啊🤔？」
👩🏻：「因為在日本不會流汗啊💦，你不知道我有流汗就會融化🫠嗎？」

「teamLab森林」意外的好玩
只是暖氣有點熱
衣服一件件的脫
差點沒裸體出來

#20260311福岡DAY9
#大濠公園teamLab森林",1,0,0,0,0,https://www.threads.net/@jahwa245/post/DXTYq-vEcPy,福岡自由行,t2,,2026-04-20
twosdoodle,2026-04-19 21:51:10,2026-04-19,"【福岡自由行 EP.8】 精華
敘敘苑要吃午餐時段唷！
商業午餐一份才3500円
價差差很多🥹
.
.
.
#福岡 #九州 #博多 #敘敘苑 #親子旅遊",1,0,0,0,4,https://www.threads.net/@twosdoodle/post/DXUMirVkwj2,福岡自由行,t2,,2026-04-20
yan_013_,2026-04-19 11:43:47,2026-04-19,"請問脆上的大家
福岡有什麼必吃燒肉跟美食
必去的旅遊景點嗎！！
還有伴手禮🥹",11,6,0,0,2,https://www.threads.net/@yan_013_/post/DXTHCHpmNIe,福岡旅遊,t2,,2026-04-20
chichi_seven_777,2026-04-19 12:33:16,2026-04-19,"想請問旅遊專家們，福岡進熊本出的話，回程從福岡市區到熊本機場，預計是從博多站搭JR PASS到熊本站（約40分鐘），轉乘機場巴士到熊本機場（約一小時），然後再搭機場接駁到國際線，中間再加換乘的時間的話，總時長抓兩個半小時夠嗎？😭

不知道有沒有更快的方法了，目前從網路上查到的交通方式拼湊起來的話是這樣🥲",7,25,0,0,3,https://www.threads.net/@chichi_seven_777/post/DXTMsjsCSJ7,福岡旅遊,t2,,2026-04-20
kin_chung88,2026-04-19 10:22:00,2026-04-19,福岡6天旅遊攻略 Day1,66,0,3,0,45,https://www.threads.net/@kin_chung88/post/DXS9q76GOOV,福岡旅遊,t2,,2026-04-20
h.yedda,2026-04-19 22:44:46,2026-04-19,"福岡旅遊 Day 7

🍜食
1. 幸ちゃんラーメン 博多駅筑紫口店 （小幸拉麵）
地點：https://maps.app.goo.gl/9iQwTonRfeRtDPkU9?g_st=ic
推薦度：🥕🥕🥕🥕
（這間拉麵有一蘭的既視感，風味很類似，也在當地人評價博多拉麵的前段班，推！

2. 治一郎
地點：https://maps.app.goo.gl/LYPzdAohRysuFZw96?g_st=ic
推薦度：🥕🥕🥕🥕🥕 4.5
（布丁不得了，入口即化，奶香和蛋香融合得很好，但如果不喜歡奶味太重的人可能會覺得還好，它還有賣其他甜點，也可以嘗試看看

3+4. 博多もつ鍋 徳永屋 総本店 （牛腸鍋）
地點：https://maps.app.goo.gl/56PRA2pFGjE6jYbo6?g_st=ic
推薦度：🥕🥕🥕🥕
（一直聽說牛腸鍋非常油，但這間不會，而且湯頭很鮮甜，是當地人評價最高的一間，去吃的時候也沒有看到觀光客",10,0,0,0,40,https://www.threads.net/@h.yedda/post/DXUSrUcmehM,福岡旅遊,t2,,2026-04-20
tabinaka_hakata_marui_2f,2026-04-19 11:26:04,2026-04-19,"・置物櫃都滿了😰
・途中想打開行李整理一下🧳
・想寄放在安全管理完善的地方✨

遇到這種情況，
最推薦的就是 **TABINAKA（タビナカ）！**

從博多車站步行約2分鐘！🚃
寄放行李，輕鬆暢遊福岡！☺️

我們是在博多的行李寄存服務 ""TABINAKA""
營業時間（10:00～21:00）🧳

📍福岡県福岡市博多区博多駅中央街9-1
  KITTE博多マルイ 2F

📞092-577-1861",26,0,1,0,54,https://www.threads.net/@tabinaka_hakata_marui_2f/post/DXTFAU_GNKl,福岡旅遊,t2,,2026-04-20
tingting9496,2026-04-19 09:19:54,2026-04-19,"暑假預計要帶長輩去韓國釜山
想跟團但又怕行程長輩不愛，
如果要半自由行，請問大家有推薦的行程嗎？或是有認識當地包車的人？
人數大約10位⋯",14,29,0,0,3,https://www.threads.net/@tingting9496/post/DXS2kUaE3L8,韓國包車,t1,,2026-04-20
chiikameoww,2026-04-19 19:28:12,2026-04-19,"揾人夾T1主場日車！！

4/25 14:45 首爾站/弘大去Inspire
4/26 14:30 弘大去Inspire

有意請pm!! 

#T1主場日 #T1homeground #首爾 #inspirearena",1,1,0,0,0,https://www.threads.net/@chiikameoww/post/DXT8LjrkatU,首爾包車,t2,,2026-04-20
moomin_gm,2026-04-19 23:58:25,2026-04-19,"（開車大師剛剛去首爾開了車心得）
🐻：終於懂大家說開車有壓力是什麼意思了 停車也很麻煩 就真的蠻累的🫩
🐻：不過還好沒有發生什麼事故 
🐻：平安無事ㄉ回來了

豪 怎麼意氣風發熊的心得是還好沒有發生事故",398,2,2,1,6,https://www.threads.net/@moomin_gm/post/DXUbGuvmKJ-,首爾包車,t2,,2026-04-20
j.lingk_k,2026-04-19 17:26:45,2026-04-19,"問有人6/13演唱會從仁川機場到釜山亞運競技場結束從場館回仁川機場嗎？
有推薦的包車服務或是接駁車，想省住宿費搭早班的飛機✈️🥹🥹",14,9,0,0,1,https://www.threads.net/@j.lingk_k/post/DXTuSFvkQkw,釜山包車,t1,,2026-04-20
blueway413,2026-04-19 09:57:52,2026-04-19,我昨天剛從釜山回來。 帶岳父母 與 3歲小孩。  我是找神燈旅遊的包車。  價格偏高，但體驗極佳！,0,1,0,0,0,https://www.threads.net/@blueway413/post/DXS66WFkSvw,釜山包車,t1,,2026-04-20
l__cc.0,2026-04-19 22:28:14,2026-04-19,很猶豫要去韓國的首爾還是釜山自由行🥺,8,11,0,0,0,https://www.threads.net/@l__cc.0/post/DXUQyM2GehF,韓國自由行,t2,,2026-04-20
